Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Late-demographic dividend,LTE,70.86238036,71.21704876,71.59934374,71.95756476,72.31110184,72.67933179,72.98834598,73.34820486,73.66254121,73.93045492,74.21752892,74.44312015,74.71377621,74.92679957,75.14822333,75.34253089,75.53062642,75.73165986,75.92178395
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,LCN,71.18293268,71.52983148,71.85017086,72.15562113,72.44327869,72.71782303,72.98253734,73.24038745,73.49142208,73.73473199,73.98045754,74.22200287,74.45905564,74.6891259,74.91177893,75.1272318,75.33617056,75.54001196,75.73981648
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean (excluding high income),LAC,70.72674057,71.08406765,71.41975343,71.73769421,72.03962478,72.32962822,72.60969422,72.88220314,73.14901957,73.41086573,73.66923397,73.92241471,74.1701152,74.40973245,74.64039484,74.8628564,75.07764241,75.28667364,75.4910294
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,71.03110801,71.37551102,71.69928541,72.00524978,72.29513093,72.57253208,72.83980346,73.09968836,73.35471307,73.60592727,73.85486873,74.10007589,74.34115255,74.575218,74.80115875,75.01968607,75.23120107,75.43739896,75.63927005
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Least developed countries: UN classification,LDC,55.23003045,55.72941304,56.25710213,56.81776281,57.41028774,58.02919321,58.66648649,59.31391369,59.95961927,60.59195705,61.20192894,61.77919814,62.31687056,62.81598745,63.27765038,63.70171696,64.08958665,64.44519781,64.77531946
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low & middle income,LMY,65.20393794,65.5055452,65.81793928,66.13203846,66.45360043,66.79164087,67.11616903,67.47535581,67.82413673,68.15348655,68.49746639,68.80862564,69.12360766,69.40622466,69.67716032,69.91850823,70.14947801,70.36986784,70.57979747
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low income,LIC,53.1204937,53.5737272,54.09220406,54.67038092,55.2997826,55.97061071,56.66934431,57.38254081,58.09364421,58.78452958,59.43990124,60.05002598,60.61280243,61.13701181,61.6298427,62.09304317,62.52786541,62.93547351,63.31944856
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lower middle income,LMC,62.36056772,62.66553893,62.98528173,63.3163057,63.64741632,63.98864263,64.3354803,64.69760679,65.06622247,65.43328521,65.8119929,66.18045825,66.52235373,66.83696415,67.13127845,67.3996088,67.64740182,67.88222295,68.10542446
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa,MEA,69.50488236,69.79573622,70.07930757,70.34422242,70.60351185,70.86495732,71.11193834,71.36338663,71.59897162,71.83395358,72.0600866,72.27176961,72.47396937,72.67549264,72.88490235,73.0878404,73.2858619,73.49248387,73.69514887
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (excluding high income),MNA,68.9767907,69.26552444,69.54642906,69.81984648,70.08612253,70.3479018,70.60505424,70.85680653,71.09885257,71.32866925,71.54629211,71.754805,71.95932788,72.1641462,72.37149736,72.57882985,72.78573636,72.99192022,73.19827017
